Precinct,Voters,Nearest VSPC,Distance to Nearest VSPC (mi.),Assigned VSPC,Distance to Assigned VSPC (mi.),Distance Difference (mi.),Reassigned,Voters Assigned,Precincts Assigned,Address,City,State,Zip,Precinct Map URL
377,1193,Trails Recreation Center,6.49,Arapahoe County Fairgrounds,9.07,2.58,True,9277,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_377.pdf
205,1206,Trails Recreation Center,1.81,Arapahoe County Lima Plaza,6.81,5.00,True,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_205.pdf
218,906,Arapahoe County Lima Plaza,1.52,Arapahoe County Lima Plaza,1.52,0.00,False,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_218.pdf
220,894,Arapahoe County Lima Plaza,1.50,Arapahoe County Lima Plaza,1.50,0.00,False,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_220.pdf
222,945,Arapahoe County Lima Plaza,1.62,Arapahoe County Lima Plaza,1.62,0.00,False,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_222.pdf
235,704,Arapahoe County Lima Plaza,1.52,Arapahoe County Lima Plaza,1.52,0.00,False,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_235.pdf
236,662,Arapahoe County Lima Plaza,1.20,Arapahoe County Lima Plaza,1.20,0.00,False,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_236.pdf
237,1198,Arapahoe County Lima Plaza,1.11,Arapahoe County Lima Plaza,1.11,0.00,False,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_237.pdf
238,872,Arapahoe County Lima Plaza,0.66,Arapahoe County Lima Plaza,0.66,0.00,False,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_238.pdf
239,878,Arapahoe County Lima Plaza,0.96,Arapahoe County Lima Plaza,0.96,0.00,False,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_239.pdf
240,1771,Arapahoe County Lima Plaza,0.11,Arapahoe County Lima Plaza,0.11,0.00,False,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_240.pdf
241,1052,Arapahoe County Lima Plaza,1.02,Arapahoe County Lima Plaza,1.02,0.00,False,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_241.pdf
242,733,Arapahoe County Lima Plaza,0.53,Arapahoe County Lima Plaza,0.53,0.00,False,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_242.pdf
264,1255,Trails Recreation Center,0.86,Arapahoe County Lima Plaza,5.35,4.49,True,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_264.pdf
269,1297,Trails Recreation Center,2.32,Arapahoe County Lima Plaza,5.16,2.84,True,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_269.pdf
270,1183,Trails Recreation Center,2.02,Arapahoe County Lima Plaza,5.18,3.16,True,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_270.pdf
275,1205,Trails Recreation Center,1.37,Arapahoe County Lima Plaza,5.55,4.17,True,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_275.pdf
280,1219,Trails Recreation Center,1.43,Arapahoe County Lima Plaza,6.52,5.10,True,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_280.pdf
281,1216,Trails Recreation Center,0.72,Arapahoe County Lima Plaza,5.85,5.12,True,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_281.pdf
327,1250,Trails Recreation Center,4.05,Arapahoe County Lima Plaza,8.08,4.03,True,20446,19,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_327.pdf
416,1562,Community College of Aurora Lowry Campus,1.40,Aurora Center for Active Adults,2.54,1.14,True,10428,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_416.pdf
504,1028,Aurora Center for Active Adults,0.60,Aurora Center for Active Adults,0.60,0.00,False,10428,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_504.pdf
505,1055,Aurora Center for Active Adults,0.61,Aurora Center for Active Adults,0.61,0.00,False,10428,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_505.pdf
506,1730,Aurora Center for Active Adults,0.65,Aurora Center for Active Adults,0.65,0.00,False,10428,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_506.pdf
507,1009,Aurora Center for Active Adults,0.14,Aurora Center for Active Adults,0.14,0.00,False,10428,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_507.pdf
