X,Y,US_CONG,CO_SEN,CO_HSE,ARAP,COMM,COLO_PREC,PRECINCT,HYPERLINK,created_us,created_da,last_edite,last_edi_1,Voter_Coun,Voter_Co_1,Shape_Leng,Shape_Area
-104.794768698996,39.6918947055059,"6","29","41","03","0","6294103539","539",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_539.pdf,AC,2022/02/02,AC,2025/10/20,1143,2025/10/20,0.03935467047,0.00007589120
-104.801134224956,39.6906093265991,"6","29","41","03","0","6294103538","538",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_538.pdf,AC,2022/02/02,AC,2025/10/20,1243,2025/10/20,0.03898592395,0.00007338025
-104.807265255532,39.6908298763628,"6","29","41","03","0","6294103537","537",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_537.pdf,AC,2022/02/02,AC,2025/10/20,1182,2025/10/20,0.03384754343,0.00005619817
-104.814587625687,39.6912724762079,"6","29","41","03","0","6294103435","435",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_435.pdf,AC,2022/02/02,AC,2025/10/20,1502,2025/10/20,0.04111286573,0.00009974242
-104.824093696364,39.693018670016,"6","29","41","03","0","6294103434","434",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_434.pdf,AC,2022/02/02,AC,2025/10/20,1178,2025/10/20,0.03412943102,0.00007014391
-104.833423964589,39.6892602761369,"6","29","41","03","0","6294103433","433",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_433.pdf,AC,2022/02/02,AC,2025/10/20,964,2025/10/20,0.04926895491,0.00013353292
-104.842416186638,39.6927087159984,"6","29","41","03","0","6294103432","432",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_432.pdf,AC,2022/02/02,AC,2025/10/20,1306,2025/10/20,0.03588242814,0.00007097910
-104.85644818468,39.6927895719052,"6","29","41","03","0","6294103416","416",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_416.pdf,AC,2022/02/02,AC,2025/10/20,1615,2025/10/20,0.05257865294,0.00014187034
-104.777547453807,39.6861985959092,"6","29","41","03","0","6294103559","559",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_559.pdf,AC,2022/02/02,AC,2025/10/20,915,2025/10/20,0.03823113133,0.00006901692
-104.78617655345,39.6888115397539,"6","29","41","03","0","6294103558","558",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_558.pdf,AC,2022/02/02,AC,2025/10/20,1108,2025/10/20,0.03193637697,0.00006083948
