Precinct,Voters,Nearest VSPC,Distance to Nearest VSPC (mi.),Assigned VSPC,Distance to Assigned VSPC (mi.),Distance Difference (mi.),Reassigned,Voters Assigned,Precincts Assigned,Address,City,State,Zip,Precinct Map URL
366,492,Arapahoe County Fairgrounds,12.08,Arapahoe County Fairgrounds,12.08,0.00,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_366.pdf
368,667,Tallyns Reach Library,1.24,Tallyns Reach Library,1.24,0.00,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_368.pdf
369,2254,Cherry Creek School District Instructional Support Facility,1.04,Cherry Creek School District Instructional Support Facility,1.04,0.00,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_369.pdf
370,1717,Cherry Creek School District Instructional Support Facility,0.74,Cherry Creek School District Instructional Support Facility,0.74,0.00,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_370.pdf
371,1029,Central Recreation Center,1.28,Central Recreation Center,1.28,0.00,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_371.pdf
372,952,Arapahoe County Fairgrounds,1.40,Arapahoe County Fairgrounds,1.40,0.00,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_372.pdf
373,1274,Tallyns Reach Library,1.76,Tallyns Reach Library,1.76,0.00,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_373.pdf
375,1559,Tallyns Reach Library,0.63,Arapahoe County Fairgrounds,3.78,3.16,True,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_375.pdf
377,1193,Tallyns Reach Library,1.76,Tallyns Reach Library,1.76,0.00,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_377.pdf
378,1957,Tallyns Reach Library,1.20,Arapahoe County Fairgrounds,2.34,1.14,True,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_378.pdf
379,1061,Tallyns Reach Library,1.44,Tallyns Reach Library,1.44,0.00,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_379.pdf
380,1098,Tallyns Reach Library,0.32,Tallyns Reach Library,0.32,0.00,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_380.pdf
382,623,Cherry Creek School District Instructional Support Facility,0.32,Cherry Creek School District Instructional Support Facility,0.32,0.00,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_382.pdf
383,1394,Tallyns Reach Library,1.27,Tallyns Reach Library,1.27,0.00,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_383.pdf
384,1492,Tallyns Reach Library,2.31,Murphy Creek Golf Course,6.94,4.63,True,14073,9,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_384.pdf
385,845,Arapahoe County Fairgrounds,1.05,Arapahoe County Fairgrounds,1.05,0.00,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_385.pdf
386,994,Central Recreation Center,0.96,Central Recreation Center,0.96,0.00,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_386.pdf
387,1319,Cherry Creek School District Instructional Support Facility,1.04,Cherry Creek School District Instructional Support Facility,1.04,0.00,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_387.pdf
388,1401,Tallyns Reach Library,2.91,Tallyns Reach Library,2.91,0.00,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_388.pdf
389,105,Central Recreation Center,1.70,Central Recreation Center,1.70,0.00,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_389.pdf
401,1089,Cook Park Recreation Center,0.72,Cook Park Recreation Center,0.72,0.00,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_401.pdf
402,0,Cook Park Recreation Center,0.49,Cook Park Recreation Center,0.49,0.00,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_402.pdf
403,643,Cook Park Recreation Center,0.95,Cook Park Recreation Center,0.95,0.00,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_403.pdf
404,560,Cook Park Recreation Center,1.24,Cook Park Recreation Center,1.24,0.00,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_404.pdf
405,678,Cook Park Recreation Center,1.33,Cook Park Recreation Center,1.33,0.00,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_405.pdf
406,556,Cook Park Recreation Center,1.25,Cook Park Recreation Center,1.25,0.00,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_406.pdf
407,1352,Cook Park Recreation Center,1.83,Cook Park Recreation Center,1.83,0.00,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_407.pdf
408,881,Cook Park Recreation Center,1.65,Cook Park Recreation Center,1.65,0.00,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_408.pdf
409,1549,Cook Park Recreation Center,1.23,Cook Park Recreation Center,1.23,0.00,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_409.pdf
410,1247,Cook Park Recreation Center,1.38,Cook Park Recreation Center,1.38,0.00,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_410.pdf
411,1347,The Avenue Church,1.92,The Avenue Church,1.92,0.00,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_411.pdf
412,1488,Cook Park Recreation Center,1.54,Cook Park Recreation Center,1.54,0.00,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_412.pdf
413,994,Cook Park Recreation Center,2.04,Cook Park Recreation Center,2.04,0.00,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_413.pdf
414,936,Cook Park Recreation Center,2.17,Cook Park Recreation Center,2.17,0.00,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_414.pdf
415,180,Cook Park Recreation Center,0.47,Cook Park Recreation Center,0.47,0.00,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_415.pdf
416,1562,The Avenue Church,1.17,The Avenue Church,1.17,0.00,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_416.pdf
417,1033,The Avenue Church,1.58,The Avenue Church,1.58,0.00,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_417.pdf
418,941,The Avenue Church,1.21,The Avenue Church,1.21,0.00,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_418.pdf
419,1120,Heather Gardens,1.82,Heather Gardens,1.82,0.00,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_419.pdf
