Precinct,Voters,Voter Service Polling Center (VSPC),VSPC Total Voters,VSPC Precinct Count,Address,City,State,Zip,Distance From Precinct (mi.),Area Lead,District Captain (DC),Precinct Lead,Hand Counter 1,Hand Counter 2,Hand Counter 3,Hand Counter 4,Hand Counter 5,Hand Counter 6,Hand Counter 7,Hand Counter 8,Hand Counter 9,Hand Counter 10,Hand Counter 11,Hand Counter 12
142,951,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,2.16,,,,,,,,,,,,,,,
143,828,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,1.62,,,,,,,,,,,,,,,
144,827,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,2.18,,,,,,,,,,,,,,,
146,849,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,2.37,,,,,,,,,,,,,,,
147,917,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,2.51,,,,,,,,,,,,,,,
149,1297,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,1.78,,,,,,,,,,,,,,,
150,1327,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,1.85,,,,,,,,,,,,,,,
151,1048,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,1.4,,,,,,,,,,,,,,,
152,862,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,1.19,,,,,,,,,,,,,,,
153,1503,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,0.92,,,,,,,,,,,,,,,
154,1210,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,0.65,,,,,,,,,,,,,,,
158,915,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,0.34,,,,,,,,,,,,,,,
159,792,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,0.04,,,,,,,,,,,,,,,
160,917,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,0.33,,,,,,,,,,,,,,,
161,809,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,0.6,,,,,,,,,,,,,,,
162,898,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,0.88,,,,,,,,,,,,,,,
310,1022,Central Recreation Center,11724,12,18150 E Vassar Pl,Aurora,CO,80013,0.54,,,,,,,,,,,,,,,
311,1218,Central Recreation Center,11724,12,18150 E Vassar Pl,Aurora,CO,80013,1.1,,,,,,,,,,,,,,,
313,1116,Central Recreation Center,11724,12,18150 E Vassar Pl,Aurora,CO,80013,0.64,,,,,,,,,,,,,,,
314,876,Central Recreation Center,11724,12,18150 E Vassar Pl,Aurora,CO,80013,0.94,,,,,,,,,,,,,,,
316,816,Central Recreation Center,11724,12,18150 E Vassar Pl,Aurora,CO,80013,1.4,,,,,,,,,,,,,,,
317,1069,Central Recreation Center,11724,12,18150 E Vassar Pl,Aurora,CO,80013,1.54,,,,,,,,,,,,,,,
318,957,Central Recreation Center,11724,12,18150 E Vassar Pl,Aurora,CO,80013,1.95,,,,,,,,,,,,,,,
322,1175,Central Recreation Center,11724,12,18150 E Vassar Pl,Aurora,CO,80013,0.88,,,,,,,,,,,,,,,
371,999,Central Recreation Center,11724,12,18150 E Vassar Pl,Aurora,CO,80013,1.32,,,,,,,,,,,,,,,
386,1012,Central Recreation Center,11724,12,18150 E Vassar Pl,Aurora,CO,80013,1.01,,,,,,,,,,,,,,,
472,1368,Central Recreation Center,11724,12,18150 E Vassar Pl,Aurora,CO,80013,0.86,,,,,,,,,,,,,,,
550,96,Central Recreation Center,11724,12,18150 E Vassar Pl,Aurora,CO,80013,4.5,,,,,,,,,,,,,,,
148,607,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,10.81,,,,,,,,,,,,,,,
157,741,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,10.89,,,,,,,,,,,,,,,
181,731,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,10.47,,,,,,,,,,,,,,,
191,888,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,11.72,,,,,,,,,,,,,,,
192,1077,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,11.41,,,,,,,,,,,,,,,
199,222,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,11.26,,,,,,,,,,,,,,,
209,991,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,10.1,,,,,,,,,,,,,,,
210,1546,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,10.32,,,,,,,,,,,,,,,
211,938,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,10.73,,,,,,,,,,,,,,,
212,1284,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,10.26,,,,,,,,,,,,,,,
214,876,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,10.32,,,,,,,,,,,,,,,
217,857,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,10.17,,,,,,,,,,,,,,,
219,1166,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,10.01,,,,,,,,,,,,,,,
221,822,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,9.78,,,,,,,,,,,,,,,
223,1060,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,9.71,,,,,,,,,,,,,,,
