Primary Captain District,Precinct,Voters,Nearest VSPC,Distance to Nearest VSPC (mi.),Assigned VSPC,Distance to Assigned VSPC (mi.),Distance Difference (mi.),Reassigned,Voters Assigned,Precincts Assigned,Address,City,State,Zip,Precinct Map URL
32,338,1027,Cherry Creek School District Instructional Support Facility,0.32,Cherry Creek School District Instructional Support Facility,0.32,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_338.pdf
32,339,1291,Cherry Creek School District Instructional Support Facility,0.59,Cherry Creek School District Instructional Support Facility,0.59,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_339.pdf
28,340,2368,Cherry Creek School District Instructional Support Facility,0.89,Cherry Creek School District Instructional Support Facility,0.89,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_340.pdf
27,341,1825,Cherry Creek School District Instructional Support Facility,1.65,Cherry Creek School District Instructional Support Facility,1.65,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_341.pdf
18,342,1992,Cherry Creek School District Instructional Support Facility,1.82,Cherry Creek School District Instructional Support Facility,1.82,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_342.pdf
27,343,1427,Cherry Creek School District Instructional Support Facility,1.83,Cherry Creek School District Instructional Support Facility,1.83,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_343.pdf
17,344,2234,Murphy Creek Golf Course,1.55,Murphy Creek Golf Course,1.55,0.0,False,14073,9,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_344.pdf
35,348,0,Kelver Library,11.8,Kelver Library,11.8,0.0,False,4667,4,585 S Main St,Byers,CO,80103,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_348.pdf
18,349,0,Arapahoe County Fairgrounds,1.35,Arapahoe County Fairgrounds,1.35,0.0,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_349.pdf
29,350,12,Arapahoe County Fairgrounds,0.46,Arapahoe County Fairgrounds,0.46,0.0,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_350.pdf
29,351,2107,Arapahoe County Fairgrounds,1.19,Arapahoe County Fairgrounds,1.19,0.0,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_351.pdf
29,352,2315,Tallyns Reach Library,1.04,Arapahoe County Fairgrounds,2.14,1.1,True,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_352.pdf
29,353,1175,Tallyns Reach Library,0.47,Tallyns Reach Library,0.47,0.0,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_353.pdf
29,354,1781,Tallyns Reach Library,0.75,Arapahoe County Fairgrounds,3.5,2.76,True,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_354.pdf
35,355,2564,Tallyns Reach Library,1.9,Arapahoe County Fairgrounds,3.23,1.33,True,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_355.pdf
