Precinct_Lon,Precinct_Lat,US_CONG,CO_SEN,CO_HSE,ARAP,COMM,Precinct,PRECINCT,HYPERLINK,created_us,created_da,last_edite,last_edi_1,Voter_Coun,Voter_Co_1,Shape_Leng,Shape_Area,VSPC_Name,Address,City,State,ZIP,VSPC_Lat,VSPC_Lon,Area_Lead,Precinct_Lead,Hand_Counter_1,Hand_Counter_2,Hand_Counter_3,Hand_Counter_4,Hand_Counter_5,Hand_Counter_6,Hand_Counter_7,Hand_Counter_8,Hand_Counter_9,Hand_Counter_10,VSPC_Rebalanced
-104.9075114,39.59192158,6,16,37,3,0,6163703224,224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_224.pdf,AC,2022/02/02,AC,2025/10/20,899,2025/10/20,0.02627500951,0.0000432872,Greenwood Village City Hall,6060 S Quebec St,Greenwood Village,CO,80111,39.6139,-104.8893,,,,,,,,,,,,,Arapahoe County Lima Plaza
-104.8991965,39.59164561,6,27,37,3,0,6273703235,235,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_235.pdf,AC,2022/02/02,AC,2025/10/20,728,2025/10/20,0.03426247332,0.00007131844,Arapahoe County Lima Plaza,6954 S Lima St,Centennial,CO,80112,39.5747,-104.881,,,,,,,,,,,,,Arapahoe County Lima Plaza
-104.8888993,39.59092482,6,27,37,3,0,6273703236,236,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_236.pdf,AC,2022/02/02,AC,2025/10/20,675,2025/10/20,0.03934110499,0.00007838998,Arapahoe County Lima Plaza,6954 S Lima St,Centennial,CO,80112,39.5747,-104.881,,,,,,,,,,,,,Arapahoe County Lima Plaza
-104.8972767,39.58474981,6,27,37,3,0,6273703237,237,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_237.pdf,AC,2022/02/02,AC,2025/10/20,1221,2025/10/20,0.04921048207,0.00009058503,Arapahoe County Lima Plaza,6954 S Lima St,Centennial,CO,80112,39.5747,-104.881,,,,,,,,,,,,,Arapahoe County Lima Plaza
-104.8857763,39.58345502,6,27,37,3,0,6273703238,238,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_238.pdf,AC,2022/02/02,AC,2025/10/20,911,2025/10/20,0.06012179305,0.00009603768,Arapahoe County Lima Plaza,6954 S Lima St,Centennial,CO,80112,39.5747,-104.881,,,,,,,,,,,,,Arapahoe County Lima Plaza
-104.8988111,39.57634564,6,27,37,3,0,6273703239,239,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_239.pdf,AC,2022/02/02,AC,2025/10/20,890,2025/10/20,0.04022323182,0.00006074594,Arapahoe County Lima Plaza,6954 S Lima St,Centennial,CO,80112,39.5747,-104.881,,,,,,,,,,,,,Arapahoe County Lima Plaza
-104.8830128,39.57416117,6,27,37,3,0,6273703240,240,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_240.pdf,AC,2022/02/02,AC,2025/10/20,1822,2025/10/20,0.07483673916,0.00023740405,Arapahoe County Lima Plaza,6954 S Lima St,Centennial,CO,80112,39.5747,-104.881,,,,,,,,,,,,,Arapahoe County Lima Plaza
-104.8990499,39.56968671,6,27,37,3,0,6273703241,241,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_241.pdf,AC,2022/02/02,AC,2025/10/20,1056,2025/10/20,0.04789482282,0.00008589649,Arapahoe County Lima Plaza,6954 S Lima St,Centennial,CO,80112,39.5747,-104.881,,,,,,,,,,,,,Arapahoe County Lima Plaza
-104.8891874,39.57036788,6,27,37,3,0,6273703242,242,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_242.pdf,AC,2022/02/02,AC,2025/10/20,747,2025/10/20,0.03074283685,0.00005437614,Arapahoe County Lima Plaza,6954 S Lima St,Centennial,CO,80112,39.5747,-104.881,,,,,,,,,,,,,Arapahoe County Lima Plaza
-104.8705905,39.7219384,6,28,42,3,0,6284203505,505,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_505.pdf,AC,2022/02/02,AC,2025/10/20,1094,2025/10/20,0.03299381146,0.00006828234,Aurora Center for Active Adults,30 Del Mar Cir,Aurora,CO,80011,39.7291,-104.864,,,,,,,,,,,,,Aurora Center for Active Adults
